distrito,year_date_of_spill_edit,mes_date_of_spill_edit,dia_date_of_spill_edit,release_prod_wtr,operator_rp,tipo_operacion_rrc,probable_cause,probable_cause_edit,spill_sustancias,release_crude_oil,release_cond,release_gas,recovery_crude_oil,recovery_cond,recovery_prod_wtr,affected_area,grado_sensibilidad_area,sensibilidad_area,cleanup_method,metodos_aplicados
24/6/2013,24.0,25/6/2013,25/6/2013,,JOHNSON COOK G UNIT #4H,,,,2013-09-11524,5,5.0,,4,,,,,NO,,
6/7/2013,6.0,6/7/2013,6/7/2013,0,ANDERSON CENTER,,<5,210,2013-6E-1857,,,,,,,,,,,
8/7/2013,8.0,8/7/2013,8/7/2013,,S&D CASTELBERRY,,8,336,2013-6E-1858,,,,,,,,,YES,,
14/7/2013,14.0,14/7/2013,14/7/2013,,ZIEGLER LINE TO PIT,,,,2013-6E-1935,,,,,,,,,YES,,
11/8/2013,11.0,12/8/2013,12/8/2013,70,SAMSON LONE STAR,,MECHANICAL FAILURE,MECHANICAL FAILURE,2013-06-7992,170,0.0,,150,0,60,1,1,,,
15/8/2013,15.0,15/8/2013,15/8/2013,,WARMINSTER,,258,10836,2013-06-8228,,,,,,,,,NO,,
23/8/2013,23.0,27/8/2013,27/8/2013,12600,PREMIER NATURAL RESOURCES,,MECHANICAL FAILURE,,2013-09-16124,,,,,,,4,,YES,,
6/9/2013,6.0,6/9/2013,6/9/2013,0,SHAMBERGER LAKE UNIT,,0,0,2013-06-8944,0,,,,,,,,YES,,
,,,,,,,,,,,,,,,,,,,,
10/9/2013,10.0,10/9/2013,10/9/2013,0,HAWKINS FIELD UNIT,,6.97,292.74,2013-06-9069,0,,,0,,,,,NO,,
